tipo,nodo_padre,nombre_grupo_investigacion,sigla_grupo_investigacion,titulo,autor_1,autor_2,autor_3,autor_4,autor_5,issn,isbn,revista,ano
Datos básicos,,Praxis Musical,,2008 - 7,,,,,,,,,2008
Datos básicos,,Praxis Musical,,ANTIOQUIA - MEDELLÍN,,,,,,,,,
Datos básicos,,Praxis Musical,,Jorge Hoyos Rentería,,,,,,,,,
Datos básicos,,Praxis Musical,,Si el día 2011-09-14,,,,,,,,,2011
Datos básicos,,Praxis Musical,,,,,,,,,,,
Datos básicos,,Praxis Musical,,jhoyos@unac.edu.co,,,,,,,,,
Datos básicos,,Praxis Musical,,A con vigencia hasta la publicación de los resultados de la siguiente convocatoria,,,,,,,,,
Datos básicos,,Praxis Musical,,Humanidades -- Arte -- Música y musicología,,,,,,,,,
Datos básicos,,Praxis Musical,,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",,,,,,,,,
Datos básicos,,Praxis Musical,,No Aplica,,,,,,,,,
Artículos publicados,,Praxis Musical,,"1.- Publicado en revista especializada: Integrating Artificial Intelligence in Higher Education: A Systematic Review and Perspectives in Latin America Reino Unido, MIGRATION LETTERS ISSN: 1741-8984, 2024 vol:21 fasc: N/A págs: 1210 - 1224, DOI",GELVER PEREZ PULIDO,FREDY GIOVANNY FERNANDEZ GOMEZ,LEONARDO MAURIS DE LA OSSA,JORGE HOYOS RENTERIA,,1741-8984,,MIGRATION LETTERS,2024
Artículos publicados,,Praxis Musical,,"2.- Revisión (Survey): Integrating Artificial Intelligence in Higher Education: A Systematic Review and Perspectives in Latin America Colombia, MIGRATION LETTERS ISSN: 1741-8992, 2024 vol:21 fasc:  págs: 1210 - 1224, DOI",JORGE HOYOS RENTERIA,GELVER PEREZ PULIDO,LEONARDO MAURIS DE LA OSSA,FREDY GIOVANNY FERNANDEZ GOMEZ,,1741-8992,,MIGRATION LETTERS,2024
Artículos publicados,,Praxis Musical,,"3.- Revisión (Survey): Evaluación innovadora de los aprendizajes en educación media y superior en América Latina: revisión sistemática Colombia, Voces Y Silencios ISSN: 2215-8421, 2023 vol:14 fasc:  págs: 23 - 48, DOI: 10.18175/VyS14.1.2023.11",JORGE HOYOS RENTERIA,GUSTAVO ADOLFO PHEREZ GOMEZ,NURY NATALIA GARZON AGUIAR,EDNA KATHERINE CONDE VEGA,,2215-8421,,Voces Y Silencios,2023
Artículos publicados,,Praxis Musical,,"4.- Publicado en revista especializada: Una cosmovisión emergente por causa del covid-19 Colombia, REVISTA PENSAMIENTO AMERICANO ISSN: 2027-2448, 2023 vol:16 fasc: N/A págs: 1 - 20, DOI: 10.21803/penamer.16.32.576",ENOC IGLESIAS ORTEGA,GUSTAVO ADOLFO PHEREZ GOMEZ,,,,2027-2448,,REVISTA PENSAMIENTO AMERICANO,2027
